Date,Open,High,Low,Close,Volume,Adj Close
2015-05-11,127.39,127.56,125.63,126.32,41843600,126.32
2015-05-08,126.68,127.62,126.11,127.62,55550400,127.62
2015-05-07,124.77,126.08,124.02,125.26,43940900,125.26
2015-05-06,126.56,126.75,123.36,125.01,72141000,124.49
2015-05-05,128.14999,128.45,125.78,125.80,49271400,125.27671
2015-05-04,129.50,130.57001,128.25999,128.70,50988300,128.16464
2015-05-01,126.10,130.13,125.30,128.95,58512600,128.4136
2015-04-30,128.64,128.64,124.58,125.15,83195400,124.62942
2015-04-29,130.16,131.59,128.30,128.64,63386100,128.1049
2015-04-28,134.46001,134.53999,129.57001,130.56,118924000,130.01691
2015-04-27,132.31,133.13,131.14999,132.64999,96954200,132.09821
2015-04-24,130.49001,130.63,129.23,130.28,44525900,129.73807
2015-04-23,128.30,130.42,128.14,129.67,45770900,129.13062
2015-04-22,126.99,128.87,126.32,128.62,37654500,128.08498
2015-04-21,128.10001,128.20,126.67,126.91,32435100,126.3821
2015-04-20,125.57,128.12,125.17,127.60,47054300,127.06922
2015-04-17,125.55,126.14,124.46,124.75,51957000,124.23108
2015-04-16,126.28,127.10,126.11,126.17,28369000,125.64517
2015-04-15,126.41,127.13,126.01,126.78,28970400,126.25263
2015-04-14,127.00,127.29,125.91,126.30,25524600,125.77464
2015-04-13,128.37,128.57001,126.61,126.85,36365100,126.32234
2015-04-10,125.95,127.21,125.26,127.10,40188000,126.5713
2015-04-09,125.85,126.58,124.66,126.56,32484000,126.03355
2015-04-08,125.85,126.40,124.97,125.60,37329200,125.07755
2015-04-07,127.64,128.12,125.98,126.01,35012300,125.48584
2015-04-06,124.47,127.51,124.33,127.35,37194000,126.82026
2015-04-02,125.03,125.56,124.19,125.32,32220100,124.79871
2015-04-01,124.82,125.12,123.10,124.25,40621400,123.73316
2015-03-31,126.09,126.49,124.36,124.43,42090600,123.91241
2015-03-30,124.05,126.40,124.00,126.37,47099700,125.84435
2015-03-27,124.57,124.70,122.91,123.25,39546200,122.73732
2015-03-26,122.76,124.88,122.60,124.24,47572900,123.7232
2015-03-25,126.54,126.82,123.38,123.38,51655200,122.86678
2015-03-24,127.23,128.03999,126.56,126.69,32842300,126.16301
2015-03-23,127.12,127.85,126.52,127.21,37709700,126.68085
2015-03-20,128.25,128.39999,125.16,125.90,68695100,125.3763
2015-03-19,128.75,129.25,127.40,127.50,45809500,126.96964
2015-03-18,127.00,129.16,126.37,128.47,65270900,127.93561
2015-03-17,125.90,127.32,125.65,127.04,51023100,126.51155
2015-03-16,123.88,124.95,122.87,124.95,35874300,124.43024
2015-03-13,124.40,125.40,122.58,123.59,51827300,123.0759
2015-03-12,122.31,124.90,121.63,124.45,48362700,123.93233
2015-03-11,124.75,124.77,122.11,122.24,68939000,121.73151
2015-03-10,126.41,127.22,123.80,124.51,68856600,123.99208
2015-03-09,127.96,129.57001,125.06,127.14,88528500,126.61114
2015-03-06,128.39999,129.37,126.26,126.60,72842100,126.07338
2015-03-05,128.58,128.75,125.76,126.41,56517100,125.88418
2015-03-04,129.10001,129.56,128.32001,128.53999,31666300,128.00531
2015-03-03,128.96001,129.52,128.09,129.36,37816300,128.8219
2015-03-02,129.25,130.28,128.30,129.09,48096700,128.55302
2015-02-27,130.00,130.57001,128.24001,128.46001,62014800,127.92565
2015-02-26,128.78999,130.87,126.61,130.42,91287500,129.87749
2015-02-25,131.56,131.60001,128.14999,128.78999,74711700,128.25427
2015-02-24,132.94,133.60001,131.17,132.17,69228100,131.62021
2015-02-23,130.02,133.00,129.66,133.00,70974100,132.44676
2015-02-20,128.62,129.50,128.05,129.50,48948400,128.96132
2015-02-19,128.48,129.03,128.33,128.45,37362400,127.91569
2015-02-18,127.63,128.78,127.45,128.72,44891700,128.18457
2015-02-17,127.49,128.88,126.92,127.83,63152400,127.29827
